
admin,Connected to the admin system,2021-05-26 23:07:19,main
admin,Banker administrative side option selected: 1,2021-05-26 23:07:20,main

System accessed at: 2021-05-26 23:08:06, , , thread_name
admin,Connected to the admin system,2021-05-26 23:08:09,main
admin,Banker administrative side option selected: 1,2021-05-26 23:08:10,main

System accessed at: 2021-05-26 23:09:42, , , thread_name
admin,Connected to the admin system,2021-05-26 23:09:45,main
admin,Banker administrative side option selected: 1,2021-05-26 23:09:47,main

System accessed at: 2021-05-26 23:10:59, , , thread_name
admin,Connected to the admin system,2021-05-26 23:11:01,main
admin,Banker administrative side option selected: 1,2021-05-26 23:11:02,main

System accessed at: 2021-05-26 23:11:18, , , thread_name
admin,Connected to the admin system,2021-05-26 23:11:20,main
admin,Banker administrative side option selected: 1,2021-05-26 23:11:21,main

System accessed at: 2021-05-26 23:27:21, , , thread_name
admin,Connected to the admin system,2021-05-26 23:27:24,main
admin,Banker administrative side option selected: 1,2021-05-26 23:27:26,main

System accessed at: 2021-05-26 23:29:07, , , thread_name
admin,Connected to the admin system,2021-05-26 23:29:13,main
admin,Banker administrative side option selected: 1,2021-05-26 23:29:14,main

System accessed at: 2021-05-26 23:30:20, , , thread_name
admin,Connected to the admin system,2021-05-26 23:30:23,main
admin,Banker administrative side option selected: 1,2021-05-26 23:30:23,main
admin,Banker customer side option selected: 1,2021-05-26 23:30:25,main
admin,Banker customer side option selected: 13,2021-05-26 23:30:30,main
admin,Banker customer side option selected: 12,2021-05-26 23:30:39,main
admin,Banker customer side option selected: 11,2021-05-26 23:31:06,main
admin,Banker closed the system.,2021-05-26 23:31:06,main

System accessed at: 2021-05-26 23:33:01, , , thread_name
admin,Connected to the admin system,2021-05-26 23:33:04,main
admin,Banker administrative side option selected: 1,2021-05-26 23:33:05,main

System accessed at: 2021-05-26 23:33:38, , , thread_name
admin,Connected to the admin system,2021-05-26 23:33:41,main
admin,Banker administrative side option selected: 1,2021-05-26 23:33:43,main

System accessed at: 2021-05-26 23:34:13, , , thread_name
admin,Connected to the admin system,2021-05-26 23:34:16,main
admin,Banker administrative side option selected: 1,2021-05-26 23:34:17,main
admin,Banker customer side option selected: 1,2021-05-26 23:34:20,main

System accessed at: 2021-05-26 23:36:56, , , thread_name
admin,Connected to the admin system,2021-05-26 23:36:59,main
admin,Banker administrative side option selected: 1,2021-05-26 23:37:00,main
admin,Banker customer side option selected: 1,2021-05-26 23:37:02,main

System accessed at: 2021-05-26 23:37:39, , , thread_name
admin,Connected to the admin system,2021-05-26 23:37:42,main
admin,Banker administrative side option selected: 1,2021-05-26 23:37:43,main
admin,Banker customer side option selected: 1,2021-05-26 23:37:44,main

System accessed at: 2021-05-26 23:43:13, , , thread_name
admin,Connected to the admin system,2021-05-26 23:43:15,main
admin,Banker administrative side option selected: 1,2021-05-26 23:43:17,main
admin,Banker customer side option selected: 1,2021-05-26 23:43:18,main

System accessed at: 2021-05-26 23:47:27, , , thread_name
admin,Connected to the admin system,2021-05-26 23:47:29,main
admin,Banker administrative side option selected: 1,2021-05-26 23:47:30,main

System accessed at: 2021-05-26 23:48:11, , , thread_name
admin,Connected to the admin system,2021-05-26 23:48:14,main
admin,Banker administrative side option selected: 1,2021-05-26 23:48:15,main
admin,Banker customer side option selected: 1,2021-05-26 23:48:18,main

System accessed at: 2021-05-26 23:51:01, , , thread_name
admin,Connected to the admin system,2021-05-26 23:51:04,main
admin,Banker administrative side option selected: 1,2021-05-26 23:51:04,main
admin,Banker customer side option selected: 1,2021-05-26 23:51:10,main

System accessed at: 2021-05-26 23:52:49, , , thread_name
admin,Connected to the admin system,2021-05-26 23:52:51,main
admin,Banker administrative side option selected: 1,2021-05-26 23:52:53,main
admin,Banker customer side option selected: 1,2021-05-26 23:52:53,main
admin,Banker customer side option selected: 13,2021-05-26 23:52:59,main
admin,Banker closed the system.,2021-05-26 23:52:59,main

System accessed at: 2021-05-27 17:55:03, , , thread_name
admin,Connected to the admin system,2021-05-27 17:55:05,main
admin,Banker administrative side option selected: 4,2021-05-27 17:55:08,main
admin,Banker administrative side option selected: 0,2021-05-27 17:55:10,main
admin,Banker closed the system.,2021-05-27 17:55:10,main

System accessed at: 2021-05-27 17:55:18, , , thread_name
admin,Connected to the admin system,2021-05-27 17:55:21,main
admin,Banker administrative side option selected: 3,2021-05-27 17:55:25,main
admin,Banker administrative side option selected: 2,2021-05-27 17:55:37,main
admin,Banker administrative side option selected: 4,2021-05-27 17:56:17,main
admin,Banker administrative side option selected: 0,2021-05-27 17:56:23,main
admin,Banker closed the system.,2021-05-27 17:56:23,main

System accessed at: 2021-05-27 17:57:18, , , thread_name
admin,Connected to the admin system,2021-05-27 17:57:21,main
admin,Banker administrative side option selected: 4,2021-05-27 17:57:22,main
admin,Banker administrative side option selected: 2,2021-05-27 17:57:26,main
admin,Banker administrative side option selected: 4,2021-05-27 17:58:07,main
admin,Banker administrative side option selected: 0,2021-05-27 17:58:09,main
